photo_count,taxon_name,ancestry,rank,rank_level,state_of_matter,kingdom,phylum,subphylum,class,subclass,order,superfamily,family,subfamily,tribe,genus,subgenus,species,subspecies
4144,Ectropis crepuscularia,48460/1/47120/372739/47158/184884/47157/49531/49530/123033/124062/124226,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Ectropis,No subgenus,Ectropis crepuscularia,
4144,Erynnis baptisiae,48460/1/47120/372739/47158/184884/47157/47224/47653/51312/320551/47652,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Pyrginae,Erynnini,Erynnis,No subgenus,Erynnis baptisiae,
4140,Pachypsylla celtidismamma,48460/1/47120/372739/47158/184884/47744/334037/48195/446767/481462/322304,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Psylloidea,Aphalaridae,Pachypsyllinae,No tribe,Pachypsylla,No subgenus,Pachypsylla celtidismamma,
4134,Melanoplus punctulatus,48460/1/47120/372739/47158/184884/47651/67688/700600/47650/47649/328102/523474/63523/1267021,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Orthoptera,Acridoidea,Acrididae,Melanoplinae,Melanoplini,Melanoplus,No subgenus,Melanoplus punctulatus,
4085,Xanthotype,48460/1/47120/372739/47158/184884/47157/49531/49530/123033/125619,genus,20.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Gnophini,No genus,No subgenus,[431] No species,
4068,Eutrapela clemataria,48460/1/47120/372739/47158/184884/47157/49531/49530/123033/124057/176431,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Ourapterygini,Eutrapela,No subgenus,Eutrapela clemataria,
4065,Anax imperator,48460/1/47120/372739/47158/184884/47792/47927/1317180/51469/51468,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Aeshnoidea,Aeshnidae,No subfamily,No tribe,Anax,No subgenus,Anax imperator,
4058,Toxomerus politus,48460/1/47120/372739/47158/184884/47822/48091/372853/414448/49995/186841/520010/58753,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,No superfamily,Syrphidae,Syrphinae,Toxomerini,Toxomerus,No subgenus,Toxomerus politus,
4046,Chorthippus brunneus,48460/1/47120/372739/47158/184884/47651/67688/700600/47650/47649/244406/523304/57651/541758,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Orthoptera,Acridoidea,Acrididae,Gomphocerinae,Gomphocerini,Chorthippus,Glyptobothrus,Chorthippus brunneus,
4039,Calliteara pudibunda,48460/1/47120/372739/47158/184884/47157/47607/121850/48847/82042/125265,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Erebidae,Lymantriinae,Orgyiini,Calliteara,No subgenus,Calliteara pudibunda,
4029,Ischnura senegalensis,48460/1/47120/372739/47158/184884/47792/47928/426081/47925/52054,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Coenagrionoidea,Coenagrionidae,No subfamily,No tribe,Ischnura,No subgenus,Ischnura senegalensis,
4022,Lucanus capreolus,48460/1/47120/372739/47158/184884/47208/71130/702480/48202/49083/373469/794938/60813/61746,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Scarabaeoidea,Lucanidae,Lucaninae,Lucanini,Lucanus,Pseudolucanus,Lucanus capreolus,
4000,Lasiocampa quercus,48460/1/47120/372739/47158/184884/47157/56583/56584/124919/124719/56585,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Lasiocampoidea,Lasiocampidae,Lasiocampinae,Lasiocampini,Lasiocampa,No subgenus,Lasiocampa quercus,
3970,Ematurga atomaria,48460/1/47120/372739/47158/184884/47157/49531/49530/123033/124062/173677,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Ematurga,No subgenus,Ematurga atomaria,
